Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
6/19/2019,AXISBANK,EQ,775.75,780.8,789,763.35,773.2,770.7,778.98,6411258,4.99424E+14,,,
6/20/2019,AXISBANK,EQ,770.7,772,775.45,758.85,771.5,771.4,766.07,9190732,7.04073E+14,,,
6/21/2019,AXISBANK,EQ,771.4,774.75,778.25,762.8,770,771.05,770.38,12610688,9.71505E+14,,,
6/24/2019,AXISBANK,EQ,771.05,771,775.25,761,762.6,762.85,766.74,4866859,3.73163E+14,,,
6/25/2019,AXISBANK,EQ,762.85,761.25,783,756.55,780.1,781.65,771.01,10044436,7.74436E+14,,,
6/26/2019,AXISBANK,EQ,781.65,782.9,792,781.7,787.8,788.6,788.49,8715757,6.87226E+14,,,
6/27/2019,AXISBANK,EQ,788.6,788.95,806.85,781.6,800.5,800.45,798.26,18439210,1.47193E+15,,,
6/28/2019,AXISBANK,EQ,800.45,801.15,812.9,793.3,809.75,808.55,804.75,9174348,7.38309E+14,,,
7/1/2019,AXISBANK,EQ,808.55,810.75,819,807.45,808.05,810.45,814.21,5896530,4.80099E+14,,,
7/2/2019,AXISBANK,EQ,810.45,811.1,812.55,800.75,802.55,802.6,804.84,7549027,6.07576E+14,,,
7/3/2019,AXISBANK,EQ,802.6,802.65,811.5,801.5,806.25,806.2,806.92,5535230,4.46649E+14,,,
7/4/2019,AXISBANK,EQ,806.2,810,813.2,804.3,807.9,808.85,808.72,5553273,4.49105E+14,,,
7/5/2019,AXISBANK,EQ,808.85,808,812.95,801.3,806.2,806.1,807.56,5871202,4.74134E+14,,,
7/8/2019,AXISBANK,EQ,806.1,802,803.65,778.65,784.45,782.9,786.3,7485169,5.88557E+14,,,
7/9/2019,AXISBANK,EQ,782.9,778.5,788.8,776.4,785.7,786.2,783.38,6448920,5.05193E+14,,,
7/10/2019,AXISBANK,EQ,786.2,786.65,790,764.55,768,769.25,774.27,5814417,4.50191E+14,,,
7/11/2019,AXISBANK,EQ,769.25,773.5,773.5,763,765.45,766.4,767.47,7111401,5.45777E+14,,,
7/12/2019,AXISBANK,EQ,766.4,766.1,768.6,751,754.05,755.8,756.69,8552548,6.4716E+14,,,
7/15/2019,AXISBANK,EQ,755.8,757.25,759.65,744,749.9,749.75,749.42,6350785,4.75938E+14,,,
7/16/2019,AXISBANK,EQ,749.75,750,763.2,747.55,762.1,761.05,756.33,6170479,4.66692E+14,,,
7/17/2019,AXISBANK,EQ,761.05,763.1,765.55,750.05,754,752.6,756.91,5757193,4.35769E+14,,,
7/18/2019,AXISBANK,EQ,752.6,754,755,734.6,743,740.4,742.83,11283488,8.38176E+14,,,
7/19/2019,AXISBANK,EQ,740.4,743.55,746.8,723.3,730.1,729.25,733.06,8091007,5.93121E+14,,,
7/22/2019,AXISBANK,EQ,729.25,730,738.5,720,727.1,727.45,728.84,7020071,5.1165E+14,,,
7/23/2019,AXISBANK,EQ,727.45,732.9,739.3,726.1,728,728,732.29,7048354,5.16144E+14,,,
7/24/2019,AXISBANK,EQ,728,728,732.8,709.35,710.15,712.3,716.34,6618279,4.74097E+14,,,
7/25/2019,AXISBANK,EQ,712.3,711.2,726.25,706.35,724.6,723.15,719.09,9972204,7.17088E+14,,,
7/26/2019,AXISBANK,EQ,723.15,723.55,732,719.2,730.55,729.85,727.59,5450010,3.96537E+14,,,
7/29/2019,AXISBANK,EQ,729.85,736.2,740,710,722,720.25,719.34,10314136,7.4194E+14,,,
7/30/2019,AXISBANK,EQ,720.25,725.95,728,701,702.4,707.6,713.26,14100900,1.00575E+15,,,
7/31/2019,AXISBANK,EQ,707.6,694,694.9,657.8,674.8,674.1,678.44,55836793,3.78818E+15,,,
8/1/2019,AXISBANK,EQ,674.1,673.95,680.75,662.65,671.3,669.3,670.87,17001210,1.14057E+15,,,
8/2/2019,AXISBANK,EQ,669.3,667.4,681.65,661.6,672.1,673.85,672.36,14426295,9.6997E+14,,,
8/5/2019,AXISBANK,EQ,673.85,665.5,669.35,650.2,660.35,662.45,660,13042504,8.60805E+14,,,
8/6/2019,AXISBANK,EQ,662.45,658.7,682.85,654,678.4,679,673.72,12419831,8.36744E+14,,,
8/7/2019,AXISBANK,EQ,679,679,679.5,654.25,659.6,659.95,669.08,10486156,7.01607E+14,,,
8/8/2019,AXISBANK,EQ,659.95,660.6,664.3,643.2,661.4,660.1,651.07,17563795,1.14353E+15,,,
8/9/2019,AXISBANK,EQ,660.1,664.2,675.95,660,660.1,660.8,666.82,9289628,6.19451E+14,,,
8/13/2019,AXISBANK,EQ,660.8,662.2,668.7,645,646.7,649.45,658.78,7389394,4.868E+14,,,
8/14/2019,AXISBANK,EQ,649.45,652.8,669.45,652,660.95,663.2,662.74,7148518,4.7376E+14,,,
8/16/2019,AXISBANK,EQ,663.2,664,678,656.85,675.1,675.65,669.74,7040117,4.71507E+14,,,
8/19/2019,AXISBANK,EQ,675.65,678.8,689,676.35,685.2,685,684.62,9082914,6.21831E+14,,,
8/20/2019,AXISBANK,EQ,685,685.15,685.2,669.5,674,672.35,674.71,7602499,5.12949E+14,,,
8/21/2019,AXISBANK,EQ,672.35,674,674.15,659.65,667.5,664.7,666.1,7892687,5.25734E+14,,,
8/22/2019,AXISBANK,EQ,664.7,665,669.85,657.75,661.15,661.15,664.61,9262172,6.15577E+14,,,
8/23/2019,AXISBANK,EQ,661.15,659.75,671.55,645.25,664.1,663.9,661.78,7775604,5.14578E+14,,,
8/26/2019,AXISBANK,EQ,663.9,677.25,686.65,660.55,683.55,683.7,672.95,8864341,5.96525E+14,,,
8/27/2019,AXISBANK,EQ,683.7,697,697.55,680.5,684.9,682.95,687.61,12015623,8.26208E+14,,,
8/28/2019,AXISBANK,EQ,682.95,685.1,689.35,673.5,677.1,678.2,681.44,5677087,3.86857E+14,,,
8/29/2019,AXISBANK,EQ,678.2,674,676.75,658.9,663.2,661.15,665.45,8753540,5.82501E+14,,,
8/30/2019,AXISBANK,EQ,661.15,664.9,668.6,640.1,665.5,663.9,656.26,17115901,1.12325E+15,,,
9/3/2019,AXISBANK,EQ,663.9,658.8,658.8,641.45,644.2,645.7,649.84,8461431,5.49859E+14,,,
9/4/2019,AXISBANK,EQ,645.7,644.2,653,638.6,646.1,647.3,646.09,10786466,6.96903E+14,,,
9/5/2019,AXISBANK,EQ,647.3,652,659.75,644.05,648.6,649.6,650.36,8108303,5.2733E+14,,,
9/6/2019,AXISBANK,EQ,649.6,653.1,672.75,653.1,670.55,671.1,666.57,11101456,7.39995E+14,,,
9/9/2019,AXISBANK,EQ,671.1,667.65,675.8,662.75,671.2,671.55,670.96,5607331,3.7623E+14,,,
9/11/2019,AXISBANK,EQ,671.55,674.55,683.5,671,677.3,681.7,678.33,5966906,4.04754E+14,,,
9/12/2019,AXISBANK,EQ,681.7,680.1,681.65,660.55,662.65,662.9,669.93,8087081,5.41778E+14,,,
9/13/2019,AXISBANK,EQ,662.9,663.55,675.4,657.05,673.8,674.25,665.93,12105997,8.06169E+14,,,
9/16/2019,AXISBANK,EQ,674.25,666.6,674.4,664.95,671.2,670.9,670.06,7659588,5.13238E+14,,,
9/17/2019,AXISBANK,EQ,670.9,667,668.3,638.05,639.5,640.45,649.84,17297040,1.12402E+15,,,
9/18/2019,AXISBANK,EQ,640.45,645.5,654.5,641.55,647.5,648.4,646.98,9702162,6.27708E+14,,,
9/19/2019,AXISBANK,EQ,648.4,648.2,650,632.6,637.35,638.2,641.93,9554331,6.13321E+14,,,
9/20/2019,AXISBANK,EQ,638.2,641.05,689.45,622.65,677,680.35,664.15,38862975,2.5811E+15,,,
9/23/2019,AXISBANK,EQ,680.35,703.9,732,695.85,730,725.5,712.96,31417887,2.23997E+15,,,
9/24/2019,AXISBANK,EQ,725.5,728.25,733.25,702.25,703.15,704.4,716.03,15683656,1.123E+15,,,
9/25/2019,AXISBANK,EQ,704.4,702,703.45,683.65,686.55,694.95,696.26,17058681,1.18773E+15,,,
9/26/2019,AXISBANK,EQ,694.95,686.6,719.65,686.55,699.5,699.9,702.99,15007372,1.055E+15,,,
9/27/2019,AXISBANK,EQ,699.9,700.2,707.95,692.5,702.5,700.6,701.89,10245068,7.19093E+14,,,
9/30/2019,AXISBANK,EQ,700.6,704.05,712.4,682.1,684.8,685,690.07,20073726,1.38524E+15,,,
10/1/2019,AXISBANK,EQ,685,687.1,701.25,656.25,676.75,679.15,679.81,49442205,3.36114E+15,,,
10/3/2019,AXISBANK,EQ,679.15,675,675.9,646.7,667.15,668.4,664.55,17615854,1.17067E+15,,,
10/4/2019,AXISBANK,EQ,668.4,669.9,677.4,651.4,655.05,656.4,663.42,15317105,1.01617E+15,,,
10/7/2019,AXISBANK,EQ,656.4,660.95,681.9,651.7,668.7,673.45,669.13,21554138,1.44225E+15,,,
10/9/2019,AXISBANK,EQ,673.45,671.9,689.5,664.3,686.95,686.3,677.95,11537721,7.82197E+14,,,
10/10/2019,AXISBANK,EQ,686.3,680,684.3,665.35,674.9,672.95,672.31,8679981,5.83564E+14,,,
10/11/2019,AXISBANK,EQ,672.95,676.55,686,668.3,672.1,672.7,675.5,11042828,7.45943E+14,,,
10/14/2019,AXISBANK,EQ,672.7,677.8,693.95,673.35,684,683.5,684.61,11099352,7.59876E+14,,,
10/15/2019,AXISBANK,EQ,683.5,682.6,694.85,681.3,689.9,690.05,688.51,9260732,6.37606E+14,,,
10/16/2019,AXISBANK,EQ,690.05,693.4,695.4,683.55,692.65,693.4,690.06,10404705,7.17988E+14,,,
10/17/2019,AXISBANK,EQ,693.4,690.5,712.4,690.5,710.35,710.3,703.33,10617761,7.46782E+14,,,
10/18/2019,AXISBANK,EQ,710.3,709.85,715.7,705.25,710.35,709.55,710.02,9500635,6.74563E+14,,,
10/22/2019,AXISBANK,EQ,709.55,712.4,723,703.3,713.25,712.75,715.7,9704016,6.94519E+14,,,
10/23/2019,AXISBANK,EQ,712.75,718,730,710.05,716.4,714.85,719.35,16158781,1.16239E+15,,,
10/24/2019,AXISBANK,EQ,714.85,719.95,723,701.55,708,707.7,710.99,8986203,6.38911E+14,,,
10/25/2019,AXISBANK,EQ,707.7,708,711,695,709.85,708.6,702.61,8226456,5.78001E+14,,,
10/27/2019,AXISBANK,EQ,708.6,711,715.05,708.55,709.05,710.1,711.31,965772,6.86961E+13,,,
10/29/2019,AXISBANK,EQ,710.1,706.5,742.9,704.25,740,738.45,726.54,10422117,7.5721E+14,,,
10/30/2019,AXISBANK,EQ,738.45,745,749.9,735.5,748.8,747.4,744.8,10188947,7.58872E+14,,,
10/31/2019,AXISBANK,EQ,747.4,748,750,732.05,732.1,736.35,740.64,8775411,6.49944E+14,,,
11/1/2019,AXISBANK,EQ,736.35,736,750,728.1,749.4,748.3,743.09,8484197,6.30454E+14,,,
11/4/2019,AXISBANK,EQ,748.3,754.95,754.95,735.55,741.8,742.6,743.61,7851370,5.83833E+14,,,
11/5/2019,AXISBANK,EQ,742.6,741.8,745.6,730.6,735.8,738.05,737.91,7306253,5.39134E+14,,,
11/6/2019,AXISBANK,EQ,738.05,736.95,750.9,728.75,745.55,747.25,741.45,7821243,5.79904E+14,,,
11/7/2019,AXISBANK,EQ,747.25,750,756,732.5,737,734.75,741.93,9871570,7.32404E+14,,,
11/8/2019,AXISBANK,EQ,734.75,735.9,735.9,722.8,725.4,725.5,730.37,7427196,5.4246E+14,,,
11/11/2019,AXISBANK,EQ,725.5,723.4,735.5,721.2,733.7,733.7,729.17,6355142,4.63397E+14,,,
11/13/2019,AXISBANK,EQ,733.7,733.7,737.4,707.85,710.2,711.2,723.05,9290616,6.71754E+14,,,
11/14/2019,AXISBANK,EQ,711.2,711,721.8,707.25,716.25,715.9,714.77,8000528,5.71851E+14,,,
11/15/2019,AXISBANK,EQ,715.9,716.75,723.5,710.6,716.2,716.9,716.16,9315652,6.67153E+14,,,
11/18/2019,AXISBANK,EQ,716.9,717.8,725.5,712.2,724.1,722.95,718.56,7907958,5.68233E+14,,,
11/19/2019,AXISBANK,EQ,722.95,725,750.2,725,749.8,747.8,739.93,14424251,1.0673E+15,,,
11/20/2019,AXISBANK,EQ,747.8,748,753.85,741.25,748.4,748.75,748.47,8798051,6.58509E+14,,,
11/21/2019,AXISBANK,EQ,748.75,749,749,734.3,735.35,737.4,739.42,5529542,4.08868E+14,,,
11/22/2019,AXISBANK,EQ,737.4,737.4,740,727.5,730.6,732.1,732.79,4889776,3.58318E+14,,,
11/25/2019,AXISBANK,EQ,732.1,731.95,756.8,730,755,754.75,744.91,6888402,5.13127E+14,,,
11/26/2019,AXISBANK,EQ,754.75,756.8,762,744,755,752.25,753.54,14624880,1.10204E+15,,,
11/27/2019,AXISBANK,EQ,752.25,755,763.75,748.4,749.1,752.9,756.69,8436862,6.38406E+14,,,
11/28/2019,AXISBANK,EQ,752.9,752.3,755.65,745.75,750.5,750.6,750.27,9235443,6.92904E+14,,,
11/29/2019,AXISBANK,EQ,750.6,749.9,756.35,736.5,738.6,739.05,744.89,12674173,9.44083E+14,,,
12/2/2019,AXISBANK,EQ,739.05,739.25,746,737.35,744.55,744.3,741.28,8285491,6.14189E+14,,,
12/3/2019,AXISBANK,EQ,744.3,744.95,744.95,730.65,732.85,733.4,735.1,5408215,3.97558E+14,,,
12/4/2019,AXISBANK,EQ,733.4,732.85,747,729.3,739.8,739.85,737.86,8016237,5.91484E+14,,,
12/5/2019,AXISBANK,EQ,739.85,743,745,725.3,728,729.25,735.24,8151690,5.99345E+14,,,
12/6/2019,AXISBANK,EQ,729.25,732.8,735.25,715,718,717.6,723.94,7458610,5.3996E+14,,,
12/9/2019,AXISBANK,EQ,717.6,713.45,733.9,710,732.35,732,723.54,8977174,6.49533E+14,,,
12/10/2019,AXISBANK,EQ,732,731,734.8,714,714.2,715.7,720.61,7625748,5.49518E+14,,,
12/11/2019,AXISBANK,EQ,715.7,711.5,722.4,709.05,715.8,716.55,715.05,8266375,5.91086E+14,,,
12/12/2019,AXISBANK,EQ,716.55,719,725.3,715.15,720.75,722.1,720.62,5519774,3.97766E+14,,,
12/13/2019,AXISBANK,EQ,722.1,725.6,754.85,725,752.25,752,744.92,14834140,1.10502E+15,,,
12/16/2019,AXISBANK,EQ,752,752.25,754.7,746.2,746.8,747.25,748.96,7286003,5.45695E+14,,,
